项目名称,星标数量,链接
virtualenv,4480,https://github.com/pypa/virtualenv
deep-learning-roadmap,4459,https://github.com/instillai/deep-learning-roadmap
discover-flask,4410,https://github.com/realpython/discover-flask
ultimate-python,4401,https://github.com/huangsam/ultimate-python
Blasting_dictionary,4373,https://github.com/rootphantomer/Blasting_dictionary
python-pinyin,4356,https://github.com/mozillazg/python-pinyin
cookiecutter-flask,4355,https://github.com/cookiecutter-flask/cookiecutter-flask
imutils,4349,https://github.com/PyImageSearch/imutils
BERTopic,4346,https://github.com/MaartenGr/BERTopic
ECDICT,4338,https://github.com/skywind3000/ECDICT
LSTM-Neural-Network-for-Time-Series-Prediction,4337,https://github.com/jaungiers/LSTM-Neural-Network-for-Time-Series-Prediction
web3.py,4290,https://github.com/ethereum/web3.py
openlibrary,4255,https://github.com/internetarchive/openlibrary
slither,4253,https://github.com/crytic/slither
w3af,4251,https://github.com/andresriancho/w3af
nicegui,4205,https://github.com/zauberzeug/nicegui
aws-cdk-examples,4187,https://github.com/aws-samples/aws-cdk-examples
jsonschema,4163,https://github.com/python-jsonschema/jsonschema
jwt_tool,4147,https://github.com/ticarpi/jwt_tool
pytorch-template,4141,https://github.com/victoresque/pytorch-template
codemod,4059,https://github.com/facebookarchive/codemod
Solaar,4037,https://github.com/pwr-Solaar/Solaar
yellowbrick,4018,https://github.com/DistrictDataLabs/yellowbrick
rebound,4015,https://github.com/shobrook/rebound
AITemplate,4003,https://github.com/facebookincubator/AITemplate
iGAN,3941,https://github.com/junyanz/iGAN
ECommerceCrawlers,3941,https://github.com/DropsDevopsOrg/ECommerceCrawlers
curio,3926,https://github.com/dabeaz/curio
Github-Ranking,3925,https://github.com/EvanLi/Github-Ranking
tf-quant-finance,3922,https://github.com/google/tf-quant-finance
flan,3917,https://github.com/cloudflare/flan
memory_profiler,3914,https://github.com/pythonprofilers/memory_profiler
livestreamer,3872,https://github.com/chrippa/livestreamer
dl-docker,3869,https://github.com/floydhub/dl-docker
stellar,3832,https://github.com/fastmonkeys/stellar
lark,3823,https://github.com/lark-parser/lark
dupeguru,3816,https://github.com/arsenetar/dupeguru
astropy,3815,https://github.com/astropy/astropy
layout-parser,3711,https://github.com/Layout-Parser/layout-parser
pandas-ta,3710,https://github.com/twopirllc/pandas-ta
stack-overflow-import,3682,https://github.com/drathier/stack-overflow-import
integration,3661,https://github.com/hacs/integration
python-docx,3658,https://github.com/python-openxml/python-docx
aiogram,3648,https://github.com/aiogram/aiogram
biopython,3635,https://github.com/biopython/biopython
